Energy consumption time period,Usage (kilowatt-hours),Cost (Canadian Dollar)
2020/04/06 05:00 to 2020/04/06 06:00,0.93,0.09
2020/04/06 06:00 to 2020/04/06 07:00,0.88,0.09
2020/04/06 07:00 to 2020/04/06 08:00,0.82,0.08
2020/04/06 08:00 to 2020/04/06 09:00,1.01,0.1
2020/04/06 09:00 to 2020/04/06 10:00,1.13,0.11
2020/04/06 10:00 to 2020/04/06 11:00,0.98,0.1
2020/04/06 11:00 to 2020/04/06 12:00,3.52,0.36
2020/04/06 12:00 to 2020/04/06 13:00,3.59,0.36
2020/04/06 13:00 to 2020/04/06 14:00,2.44,0.25
2020/04/06 14:00 to 2020/04/06 15:00,1.67,0.17
2020/04/06 15:00 to 2020/04/06 16:00,1.57,0.16
2020/04/06 16:00 to 2020/04/06 17:00,3.67,0.37
2020/04/06 17:00 to 2020/04/06 18:00,3.16,0.32
2020/04/06 18:00 to 2020/04/06 19:00,1.37,0.14
2020/04/06 19:00 to 2020/04/06 20:00,1.35,0.14
2020/04/06 20:00 to 2020/04/06 21:00,1.63,0.16
2020/04/06 21:00 to 2020/04/06 22:00,1.64,0.17
2020/04/06 22:00 to 2020/04/06 23:00,6.44,0.65
2020/04/06 23:00 to 2020/04/07 00:00,1.77,0.18
2020/04/07 00:00 to 2020/04/07 01:00,1.94,0.2
2020/04/07 01:00 to 2020/04/07 02:00,1.7,0.17
2020/04/07 02:00 to 2020/04/07 03:00,0.82,0.08
2020/04/07 03:00 to 2020/04/07 04:00,0.91,0.09
2020/04/07 04:00 to 2020/04/07 05:00,0.63,0.06
2020/04/07 05:00 to 2020/04/07 06:00,0.61,0.06
2020/04/07 06:00 to 2020/04/07 07:00,0.79,0.08
2020/04/07 07:00 to 2020/04/07 08:00,0.72,0.07
2020/04/07 08:00 to 2020/04/07 09:00,1.12,0.11
2020/04/07 09:00 to 2020/04/07 10:00,1.53,0.15
2020/04/07 10:00 to 2020/04/07 11:00,1.27,0.13
2020/04/07 11:00 to 2020/04/07 12:00,1.46,0.15
2020/04/07 12:00 to 2020/04/07 13:00,1.88,0.19
2020/04/07 13:00 to 2020/04/07 14:00,1.23,0.12
2020/04/07 14:00 to 2020/04/07 15:00,1.88,0.19
2020/04/07 15:00 to 2020/04/07 16:00,2.9,0.29
2020/04/07 16:00 to 2020/04/07 17:00,3.35,0.34
2020/04/07 17:00 to 2020/04/07 18:00,3.63,0.37
2020/04/07 18:00 to 2020/04/07 19:00,2.63,0.27
2020/04/07 19:00 to 2020/04/07 20:00,1.53,0.15
2020/04/07 20:00 to 2020/04/07 21:00,1.2,0.12
2020/04/07 21:00 to 2020/04/07 22:00,1.24,0.13
2020/04/07 22:00 to 2020/04/07 23:00,2.05,0.21
2020/04/07 23:00 to 2020/04/08 00:00,2.04,0.21
2020/04/08 00:00 to 2020/04/08 01:00,1.7,0.17
2020/04/08 01:00 to 2020/04/08 02:00,1.44,0.15
2020/04/08 02:00 to 2020/04/08 03:00,0.95,0.1
2020/04/08 03:00 to 2020/04/08 04:00,0.88,0.09
2020/04/08 04:00 to 2020/04/08 05:00,0.61,0.06
2020/04/08 05:00 to 2020/04/08 06:00,0.63,0.06
2020/04/08 06:00 to 2020/04/08 07:00,0.85,0.09
2020/04/08 07:00 to 2020/04/08 08:00,0.81,0.08
2020/04/08 08:00 to 2020/04/08 09:00,0.97,0.1
2020/04/08 09:00 to 2020/04/08 10:00,0.98,0.1
2020/04/08 10:00 to 2020/04/08 11:00,0.96,0.1
2020/04/08 11:00 to 2020/04/08 12:00,1,0.1
2020/04/08 12:00 to 2020/04/08 13:00,0.94,0.09
2020/04/08 13:00 to 2020/04/08 14:00,1.29,0.13
2020/04/08 14:00 to 2020/04/08 15:00,1.72,0.17
2020/04/08 15:00 to 2020/04/08 16:00,1.82,0.18
2020/04/08 16:00 to 2020/04/08 17:00,2.27,0.23
2020/04/08 17:00 to 2020/04/08 18:00,4.77,0.48
2020/04/08 18:00 to 2020/04/08 19:00,3.07,0.31
2020/04/08 19:00 to 2020/04/08 20:00,1.92,0.19
2020/04/08 20:00 to 2020/04/08 21:00,2.82,0.28
2020/04/08 21:00 to 2020/04/08 22:00,1.76,0.18
2020/04/08 22:00 to 2020/04/08 23:00,1.74,0.18
2020/04/08 23:00 to 2020/04/09 00:00,1.96,0.2
2020/04/09 00:00 to 2020/04/09 01:00,1.89,0.19
2020/04/09 01:00 to 2020/04/09 02:00,1.68,0.17
2020/04/09 02:00 to 2020/04/09 03:00,0.74,0.07
2020/04/09 03:00 to 2020/04/09 04:00,0.8,0.08
2020/04/09 04:00 to 2020/04/09 05:00,0.72,0.07
2020/04/09 05:00 to 2020/04/09 06:00,0.68,0.07
2020/04/09 06:00 to 2020/04/09 07:00,0.85,0.09
2020/04/09 07:00 to 2020/04/09 08:00,0.81,0.08
2020/04/09 08:00 to 2020/04/09 09:00,0.9,0.09
2020/04/09 09:00 to 2020/04/09 10:00,0.81,0.08
2020/04/09 10:00 to 2020/04/09 11:00,1.04,0.11
2020/04/09 11:00 to 2020/04/09 12:00,2.2,0.22
2020/04/09 12:00 to 2020/04/09 13:00,2.74,0.28
2020/04/09 13:00 to 2020/04/09 14:00,1.52,0.15
2020/04/09 14:00 to 2020/04/09 15:00,1.37,0.14
2020/04/09 15:00 to 2020/04/09 16:00,0.87,0.09
2020/04/09 16:00 to 2020/04/09 17:00,1.32,0.13
2020/04/09 17:00 to 2020/04/09 18:00,3.11,0.31
2020/04/09 18:00 to 2020/04/09 19:00,1.11,0.11
2020/04/09 19:00 to 2020/04/09 20:00,1.52,0.15
2020/04/09 20:00 to 2020/04/09 21:00,1.62,0.16
2020/04/09 21:00 to 2020/04/09 22:00,1.04,0.11
2020/04/09 22:00 to 2020/04/09 23:00,1.25,0.13
2020/04/09 23:00 to 2020/04/10 00:00,1.49,0.15
2020/04/10 00:00 to 2020/04/10 01:00,1.9,0.19
2020/04/10 01:00 to 2020/04/10 02:00,1.86,0.19
2020/04/10 02:00 to 2020/04/10 03:00,0.65,0.07
2020/04/10 03:00 to 2020/04/10 04:00,0.75,0.08
2020/04/10 04:00 to 2020/04/10 05:00,0.88,0.09
2020/04/10 05:00 to 2020/04/10 06:00,0.87,0.09
2020/04/10 06:00 to 2020/04/10 07:00,0.78,0.08
2020/04/10 07:00 to 2020/04/10 08:00,0.82,0.08
2020/04/10 08:00 to 2020/04/10 09:00,0.9,0.09
2020/04/10 09:00 to 2020/04/10 10:00,0.98,0.1
2020/04/10 10:00 to 2020/04/10 11:00,0.87,0.09
2020/04/10 11:00 to 2020/04/10 12:00,1.23,0.12
2020/04/10 12:00 to 2020/04/10 13:00,3.15,0.32
2020/04/10 13:00 to 2020/04/10 14:00,1.13,0.11
2020/04/10 14:00 to 2020/04/10 15:00,1.4,0.14
2020/04/10 15:00 to 2020/04/10 16:00,4.14,0.42
2020/04/10 16:00 to 2020/04/10 17:00,4.5,0.45
2020/04/10 17:00 to 2020/04/10 18:00,3.73,0.38
2020/04/10 18:00 to 2020/04/10 19:00,1.8,0.18
2020/04/10 19:00 to 2020/04/10 20:00,1.55,0.16
2020/04/10 20:00 to 2020/04/10 21:00,1.86,0.19
2020/04/10 21:00 to 2020/04/10 22:00,1.76,0.18
2020/04/10 22:00 to 2020/04/10 23:00,5.66,0.57
2020/04/10 23:00 to 2020/04/11 00:00,1.82,0.18
2020/04/11 00:00 to 2020/04/11 01:00,3.49,0.23
2020/04/11 01:00 to 2020/04/11 02:00,2.19,0.14
2020/04/11 02:00 to 2020/04/11 03:00,1.73,0.11
2020/04/11 03:00 to 2020/04/11 04:00,0.83,0.05
2020/04/11 04:00 to 2020/04/11 05:00,0.81,0.05
2020/04/11 05:00 to 2020/04/11 06:00,0.87,0.06
2020/04/11 06:00 to 2020/04/11 07:00,0.79,0.05
2020/04/11 07:00 to 2020/04/11 08:00,0.67,0.04
2020/04/11 08:00 to 2020/04/11 09:00,0.82,0.05
2020/04/11 09:00 to 2020/04/11 10:00,0.73,0.05
2020/04/11 10:00 to 2020/04/11 11:00,0.74,0.05
2020/04/11 11:00 to 2020/04/11 12:00,0.73,0.05
2020/04/11 12:00 to 2020/04/11 13:00,1.23,0.08
2020/04/11 13:00 to 2020/04/11 14:00,1.16,0.08
2020/04/11 14:00 to 2020/04/11 15:00,1.48,0.1
2020/04/11 15:00 to 2020/04/11 16:00,1.97,0.13
2020/04/11 16:00 to 2020/04/11 17:00,1.55,0.1
2020/04/11 17:00 to 2020/04/11 18:00,2,0.13
2020/04/11 18:00 to 2020/04/11 19:00,1.46,0.09
2020/04/11 19:00 to 2020/04/11 20:00,1.56,0.1
2020/04/11 20:00 to 2020/04/11 21:00,1.79,0.12
2020/04/11 21:00 to 2020/04/11 22:00,1.95,0.13
2020/04/11 22:00 to 2020/04/11 23:00,4.74,0.31
2020/04/11 23:00 to 2020/04/12 00:00,1.74,0.11
2020/04/12 00:00 to 2020/04/12 01:00,1.97,0.13
2020/04/12 01:00 to 2020/04/12 02:00,1.82,0.12
2020/04/12 02:00 to 2020/04/12 03:00,1.31,0.09
2020/04/12 03:00 to 2020/04/12 04:00,1.34,0.09
2020/04/12 04:00 to 2020/04/12 05:00,1.32,0.09
2020/04/12 05:00 to 2020/04/12 06:00,1.27,0.08
2020/04/12 06:00 to 2020/04/12 07:00,1.13,0.07
2020/04/12 07:00 to 2020/04/12 08:00,1.13,0.07
2020/04/12 08:00 to 2020/04/12 09:00,1.07,0.07
2020/04/12 09:00 to 2020/04/12 10:00,1.06,0.07
2020/04/12 10:00 to 2020/04/12 11:00,1.1,0.07
2020/04/12 11:00 to 2020/04/12 12:00,1.32,0.09
2020/04/12 12:00 to 2020/04/12 13:00,1.23,0.08
2020/04/12 13:00 to 2020/04/12 14:00,2.35,0.15
2020/04/12 14:00 to 2020/04/12 15:00,1.76,0.11
2020/04/12 15:00 to 2020/04/12 16:00,1.67,0.11
2020/04/12 16:00 to 2020/04/12 17:00,1.55,0.1
2020/04/12 17:00 to 2020/04/12 18:00,3.43,0.22
2020/04/12 18:00 to 2020/04/12 19:00,2.11,0.14
2020/04/12 19:00 to 2020/04/12 20:00,3.51,0.23
2020/04/12 20:00 to 2020/04/12 21:00,1.82,0.12
2020/04/12 21:00 to 2020/04/12 22:00,1.75,0.11
2020/04/12 22:00 to 2020/04/12 23:00,1.79,0.12
2020/04/12 23:00 to 2020/04/13 00:00,1.43,0.09
2020/04/13 00:00 to 2020/04/13 01:00,1.82,0.18
2020/04/13 01:00 to 2020/04/13 02:00,1.58,0.16
2020/04/13 02:00 to 2020/04/13 03:00,1.62,0.16
2020/04/13 03:00 to 2020/04/13 04:00,0.98,0.1
2020/04/13 04:00 to 2020/04/13 05:00,0.9,0.09
2020/04/13 05:00 to 2020/04/13 06:00,1.01,0.1
2020/04/13 06:00 to 2020/04/13 07:00,1.07,0.11
2020/04/13 07:00 to 2020/04/13 08:00,0.68,0.07
2020/04/13 08:00 to 2020/04/13 09:00,2.66,0.27
2020/04/13 09:00 to 2020/04/13 10:00,3.97,0.4
2020/04/13 10:00 to 2020/04/13 11:00,0.83,0.08
2020/04/13 11:00 to 2020/04/13 12:00,0.75,0.08
2020/04/13 12:00 to 2020/04/13 13:00,1.04,0.11
2020/04/13 13:00 to 2020/04/13 14:00,1.14,0.12
2020/04/13 14:00 to 2020/04/13 15:00,1.74,0.18
2020/04/13 15:00 to 2020/04/13 16:00,3.52,0.36
2020/04/13 16:00 to 2020/04/13 17:00,3.57,0.36
2020/04/13 17:00 to 2020/04/13 18:00,3.69,0.37
2020/04/13 18:00 to 2020/04/13 19:00,2.33,0.24
2020/04/13 19:00 to 2020/04/13 20:00,1.58,0.16
2020/04/13 20:00 to 2020/04/13 21:00,1.78,0.18
2020/04/13 21:00 to 2020/04/13 22:00,1.61,0.16
2020/04/13 22:00 to 2020/04/13 23:00,5.81,0.59
2020/04/13 23:00 to 2020/04/14 00:00,1.78,0.18
2020/04/14 00:00 to 2020/04/14 01:00,1.93,0.19
2020/04/14 01:00 to 2020/04/14 02:00,1.88,0.19
2020/04/14 02:00 to 2020/04/14 03:00,0.97,0.1
2020/04/14 03:00 to 2020/04/14 04:00,0.87,0.09
2020/04/14 04:00 to 2020/04/14 05:00,0.96,0.1
2020/04/14 05:00 to 2020/04/14 06:00,0.84,0.08
2020/04/14 06:00 to 2020/04/14 07:00,0.9,0.09
2020/04/14 07:00 to 2020/04/14 08:00,0.9,0.09
2020/04/14 08:00 to 2020/04/14 09:00,0.83,0.08
2020/04/14 09:00 to 2020/04/14 10:00,0.95,0.1
2020/04/14 10:00 to 2020/04/14 11:00,0.8,0.08
2020/04/14 11:00 to 2020/04/14 12:00,0.91,0.09
2020/04/14 12:00 to 2020/04/14 13:00,0.91,0.09
2020/04/14 13:00 to 2020/04/14 14:00,1.41,0.14
2020/04/14 14:00 to 2020/04/14 15:00,1.11,0.11
2020/04/14 15:00 to 2020/04/14 16:00,1.26,0.13
2020/04/14 16:00 to 2020/04/14 17:00,1.36,0.14
2020/04/14 17:00 to 2020/04/14 18:00,2.11,0.21
2020/04/14 18:00 to 2020/04/14 19:00,1.84,0.19
2020/04/14 19:00 to 2020/04/14 20:00,1.7,0.17
2020/04/14 20:00 to 2020/04/14 21:00,1.79,0.18
2020/04/14 21:00 to 2020/04/14 22:00,1.59,0.16
2020/04/14 22:00 to 2020/04/14 23:00,4.83,0.49
2020/04/14 23:00 to 2020/04/15 00:00,1.69,0.17
2020/04/15 00:00 to 2020/04/15 01:00,1.95,0.2
2020/04/15 01:00 to 2020/04/15 02:00,1.95,0.2
2020/04/15 02:00 to 2020/04/15 03:00,1.08,0.11
2020/04/15 03:00 to 2020/04/15 04:00,0.81,0.08
2020/04/15 04:00 to 2020/04/15 05:00,1,0.1
2020/04/15 05:00 to 2020/04/15 06:00,0.86,0.09
2020/04/15 06:00 to 2020/04/15 07:00,0.81,0.08
2020/04/15 07:00 to 2020/04/15 08:00,1.08,0.11
2020/04/15 08:00 to 2020/04/15 09:00,0.86,0.09
2020/04/15 09:00 to 2020/04/15 10:00,0.76,0.08
2020/04/15 10:00 to 2020/04/15 11:00,0.87,0.09
2020/04/15 11:00 to 2020/04/15 12:00,0.94,0.09
2020/04/15 12:00 to 2020/04/15 13:00,1.09,0.11
2020/04/15 13:00 to 2020/04/15 14:00,1.08,0.11
2020/04/15 14:00 to 2020/04/15 15:00,1.18,0.12
2020/04/15 15:00 to 2020/04/15 16:00,1.44,0.15
2020/04/15 16:00 to 2020/04/15 17:00,1.48,0.15
2020/04/15 17:00 to 2020/04/15 18:00,1.94,0.2
2020/04/15 18:00 to 2020/04/15 19:00,1.56,0.16
2020/04/15 19:00 to 2020/04/15 20:00,1.6,0.16
2020/04/15 20:00 to 2020/04/15 21:00,1.81,0.18
2020/04/15 21:00 to 2020/04/15 22:00,1.64,0.17
2020/04/15 22:00 to 2020/04/15 23:00,6.59,0.67
2020/04/15 23:00 to 2020/04/16 00:00,2.15,0.22
2020/04/16 00:00 to 2020/04/16 01:00,1.79,0.18
2020/04/16 01:00 to 2020/04/16 02:00,1.68,0.17
2020/04/16 02:00 to 2020/04/16 03:00,1.18,0.12
2020/04/16 03:00 to 2020/04/16 04:00,0.87,0.09
2020/04/16 04:00 to 2020/04/16 05:00,0.93,0.09
2020/04/16 05:00 to 2020/04/16 06:00,0.9,0.09
2020/04/16 06:00 to 2020/04/16 07:00,0.78,0.08
2020/04/16 07:00 to 2020/04/16 08:00,0.88,0.09
2020/04/16 08:00 to 2020/04/16 09:00,0.94,0.09
2020/04/16 09:00 to 2020/04/16 10:00,0.78,0.08
2020/04/16 10:00 to 2020/04/16 11:00,0.72,0.07
2020/04/16 11:00 to 2020/04/16 12:00,0.86,0.09
2020/04/16 12:00 to 2020/04/16 13:00,1.23,0.12
2020/04/16 13:00 to 2020/04/16 14:00,1.53,0.15
2020/04/16 14:00 to 2020/04/16 15:00,2.33,0.24
2020/04/16 15:00 to 2020/04/16 16:00,3.27,0.33
2020/04/16 16:00 to 2020/04/16 17:00,3.47,0.35
2020/04/16 17:00 to 2020/04/16 18:00,2.98,0.3
2020/04/16 18:00 to 2020/04/16 19:00,1.45,0.15
2020/04/16 19:00 to 2020/04/16 20:00,1.42,0.14
2020/04/16 20:00 to 2020/04/16 21:00,1.71,0.17
2020/04/16 21:00 to 2020/04/16 22:00,1.59,0.16
2020/04/16 22:00 to 2020/04/16 23:00,6.67,0.67
2020/04/16 23:00 to 2020/04/17 00:00,1.88,0.19
2020/04/17 00:00 to 2020/04/17 01:00,1.95,0.2
2020/04/17 01:00 to 2020/04/17 02:00,1.69,0.17
2020/04/17 02:00 to 2020/04/17 03:00,1.81,0.18
2020/04/17 03:00 to 2020/04/17 04:00,0.92,0.09
2020/04/17 04:00 to 2020/04/17 05:00,0.85,0.09
2020/04/17 05:00 to 2020/04/17 06:00,0.74,0.07
2020/04/17 06:00 to 2020/04/17 07:00,0.79,0.08
2020/04/17 07:00 to 2020/04/17 08:00,0.98,0.1
2020/04/17 08:00 to 2020/04/17 09:00,0.83,0.08
2020/04/17 09:00 to 2020/04/17 10:00,0.92,0.09
2020/04/17 10:00 to 2020/04/17 11:00,0.96,0.1
2020/04/17 11:00 to 2020/04/17 12:00,0.89,0.09
2020/04/17 12:00 to 2020/04/17 13:00,0.93,0.09
2020/04/17 13:00 to 2020/04/17 14:00,1.13,0.11
2020/04/17 14:00 to 2020/04/17 15:00,1.37,0.14
2020/04/17 15:00 to 2020/04/17 16:00,1.43,0.14
2020/04/17 16:00 to 2020/04/17 17:00,1.45,0.15
2020/04/17 17:00 to 2020/04/17 18:00,1.86,0.19
2020/04/17 18:00 to 2020/04/17 19:00,2.2,0.22
2020/04/17 19:00 to 2020/04/17 20:00,1.45,0.15
2020/04/17 20:00 to 2020/04/17 21:00,1.59,0.16
2020/04/17 21:00 to 2020/04/17 22:00,1.87,0.19
2020/04/17 22:00 to 2020/04/17 23:00,6.5,0.66
2020/04/17 23:00 to 2020/04/18 00:00,1.87,0.19
2020/04/18 00:00 to 2020/04/18 01:00,2.14,0.14
2020/04/18 01:00 to 2020/04/18 02:00,2.17,0.14
2020/04/18 02:00 to 2020/04/18 03:00,1.16,0.08
2020/04/18 03:00 to 2020/04/18 04:00,2.28,0.15
2020/04/18 04:00 to 2020/04/18 05:00,1.21,0.08
2020/04/18 05:00 to 2020/04/18 06:00,0.89,0.06
2020/04/18 06:00 to 2020/04/18 07:00,0.84,0.05
2020/04/18 07:00 to 2020/04/18 08:00,0.75,0.05
2020/04/18 08:00 to 2020/04/18 09:00,0.76,0.05
2020/04/18 09:00 to 2020/04/18 10:00,0.71,0.05
2020/04/18 10:00 to 2020/04/18 11:00,0.68,0.04
2020/04/18 11:00 to 2020/04/18 12:00,0.73,0.05
2020/04/18 12:00 to 2020/04/18 13:00,0.83,0.05
2020/04/18 13:00 to 2020/04/18 14:00,2.81,0.18
2020/04/18 14:00 to 2020/04/18 15:00,1.7,0.11
2020/04/18 15:00 to 2020/04/18 16:00,1.33,0.09
2020/04/18 16:00 to 2020/04/18 17:00,1.55,0.1
2020/04/18 17:00 to 2020/04/18 18:00,1.56,0.1
2020/04/18 18:00 to 2020/04/18 19:00,2.61,0.17
2020/04/18 19:00 to 2020/04/18 20:00,1.41,0.09
2020/04/18 20:00 to 2020/04/18 21:00,1.87,0.12
2020/04/18 21:00 to 2020/04/18 22:00,1.27,0.08
2020/04/18 22:00 to 2020/04/18 23:00,5.47,0.36
2020/04/18 23:00 to 2020/04/19 00:00,1.9,0.12
2020/04/19 00:00 to 2020/04/19 01:00,1.95,0.13
2020/04/19 01:00 to 2020/04/19 02:00,1.96,0.13
2020/04/19 02:00 to 2020/04/19 03:00,1.26,0.08
2020/04/19 03:00 to 2020/04/19 04:00,1.11,0.07
2020/04/19 04:00 to 2020/04/19 05:00,1.08,0.07
2020/04/19 05:00 to 2020/04/19 06:00,1.09,0.07
2020/04/19 06:00 to 2020/04/19 07:00,0.92,0.06
2020/04/19 07:00 to 2020/04/19 08:00,0.84,0.05
2020/04/19 08:00 to 2020/04/19 09:00,0.79,0.05
2020/04/19 09:00 to 2020/04/19 10:00,0.83,0.05
2020/04/19 10:00 to 2020/04/19 11:00,0.91,0.06
2020/04/19 11:00 to 2020/04/19 12:00,1.02,0.07
2020/04/19 12:00 to 2020/04/19 13:00,1.39,0.09
2020/04/19 13:00 to 2020/04/19 14:00,1.19,0.08
2020/04/19 14:00 to 2020/04/19 15:00,1.18,0.08
2020/04/19 15:00 to 2020/04/19 16:00,1.12,0.07
2020/04/19 16:00 to 2020/04/19 17:00,1.53,0.1
2020/04/19 17:00 to 2020/04/19 18:00,2.29,0.15
2020/04/19 18:00 to 2020/04/19 19:00,3.29,0.21
2020/04/19 19:00 to 2020/04/19 20:00,2.34,0.15
2020/04/19 20:00 to 2020/04/19 21:00,2.11,0.14
2020/04/19 21:00 to 2020/04/19 22:00,2.48,0.16
2020/04/19 22:00 to 2020/04/19 23:00,6.27,0.41
2020/04/19 23:00 to 2020/04/20 00:00,1.83,0.12
2020/04/20 00:00 to 2020/04/20 01:00,1.64,0.17
2020/04/20 01:00 to 2020/04/20 02:00,1.6,0.16
2020/04/20 02:00 to 2020/04/20 03:00,2.08,0.21
2020/04/20 03:00 to 2020/04/20 04:00,0.72,0.07
2020/04/20 04:00 to 2020/04/20 05:00,0.83,0.08
2020/04/20 05:00 to 2020/04/20 06:00,0.92,0.09
2020/04/20 06:00 to 2020/04/20 07:00,0.7,0.07
2020/04/20 07:00 to 2020/04/20 08:00,0.83,0.08
2020/04/20 08:00 to 2020/04/20 09:00,0.72,0.07
2020/04/20 09:00 to 2020/04/20 10:00,0.73,0.07
2020/04/20 10:00 to 2020/04/20 11:00,0.75,0.08
2020/04/20 11:00 to 2020/04/20 12:00,0.83,0.08
2020/04/20 12:00 to 2020/04/20 13:00,1.13,0.11
2020/04/20 13:00 to 2020/04/20 14:00,1.65,0.17
2020/04/20 14:00 to 2020/04/20 15:00,1.65,0.17
2020/04/20 15:00 to 2020/04/20 16:00,5.62,0.57
2020/04/20 16:00 to 2020/04/20 17:00,1.89,0.19
2020/04/20 17:00 to 2020/04/20 18:00,1.92,0.19
2020/04/20 18:00 to 2020/04/20 19:00,3.12,0.32
2020/04/20 19:00 to 2020/04/20 20:00,2.03,0.21
2020/04/20 20:00 to 2020/04/20 21:00,1.78,0.18
2020/04/20 21:00 to 2020/04/20 22:00,1.74,0.18
2020/04/20 22:00 to 2020/04/20 23:00,6.06,0.61
2020/04/20 23:00 to 2020/04/21 00:00,1.88,0.19
2020/04/21 00:00 to 2020/04/21 01:00,1.89,0.19
2020/04/21 01:00 to 2020/04/21 02:00,1.79,0.18
2020/04/21 02:00 to 2020/04/21 03:00,0.9,0.09
2020/04/21 03:00 to 2020/04/21 04:00,1.72,0.17
2020/04/21 04:00 to 2020/04/21 05:00,0.7,0.07
2020/04/21 05:00 to 2020/04/21 06:00,0.71,0.07
2020/04/21 06:00 to 2020/04/21 07:00,0.85,0.09
2020/04/21 07:00 to 2020/04/21 08:00,0.76,0.08
2020/04/21 08:00 to 2020/04/21 09:00,0.82,0.08
2020/04/21 09:00 to 2020/04/21 10:00,0.74,0.07
2020/04/21 10:00 to 2020/04/21 11:00,0.85,0.09
2020/04/21 11:00 to 2020/04/21 12:00,0.82,0.08
2020/04/21 12:00 to 2020/04/21 13:00,1.15,0.12
2020/04/21 13:00 to 2020/04/21 14:00,1.22,0.12
2020/04/21 14:00 to 2020/04/21 15:00,1.39,0.14
2020/04/21 15:00 to 2020/04/21 16:00,1.49,0.15
2020/04/21 16:00 to 2020/04/21 17:00,3.11,0.31
2020/04/21 17:00 to 2020/04/21 18:00,4.17,0.42
2020/04/21 18:00 to 2020/04/21 19:00,5.19,0.52
2020/04/21 19:00 to 2020/04/21 20:00,1.77,0.18
2020/04/21 20:00 to 2020/04/21 21:00,1.78,0.18
2020/04/21 21:00 to 2020/04/21 22:00,1.47,0.15
2020/04/21 22:00 to 2020/04/21 23:00,5.92,0.6
2020/04/21 23:00 to 2020/04/22 00:00,1.93,0.19
2020/04/22 00:00 to 2020/04/22 01:00,1.89,0.19
2020/04/22 01:00 to 2020/04/22 02:00,2.01,0.2
2020/04/22 02:00 to 2020/04/22 03:00,1.09,0.11
2020/04/22 03:00 to 2020/04/22 04:00,1.98,0.2
2020/04/22 04:00 to 2020/04/22 05:00,0.91,0.09
2020/04/22 05:00 to 2020/04/22 06:00,0.99,0.1
2020/04/22 06:00 to 2020/04/22 07:00,0.97,0.1
2020/04/22 07:00 to 2020/04/22 08:00,1.05,0.11
2020/04/22 08:00 to 2020/04/22 09:00,1.02,0.1
2020/04/22 09:00 to 2020/04/22 10:00,0.99,0.1
2020/04/22 10:00 to 2020/04/22 11:00,0.88,0.09
2020/04/22 11:00 to 2020/04/22 12:00,0.93,0.09
2020/04/22 12:00 to 2020/04/22 13:00,1.37,0.14
2020/04/22 13:00 to 2020/04/22 14:00,2.33,0.24
2020/04/22 14:00 to 2020/04/22 15:00,1.31,0.13
2020/04/22 15:00 to 2020/04/22 16:00,1.4,0.14
2020/04/22 16:00 to 2020/04/22 17:00,1.28,0.13
2020/04/22 17:00 to 2020/04/22 18:00,2.02,0.2
2020/04/22 18:00 to 2020/04/22 19:00,1.64,0.17
2020/04/22 19:00 to 2020/04/22 20:00,1.43,0.14
2020/04/22 20:00 to 2020/04/22 21:00,1.64,0.17
2020/04/22 21:00 to 2020/04/22 22:00,1.79,0.18
2020/04/22 22:00 to 2020/04/22 23:00,6.01,0.61
2020/04/22 23:00 to 2020/04/23 00:00,1.99,0.2
2020/04/23 00:00 to 2020/04/23 01:00,1.97,0.2
2020/04/23 01:00 to 2020/04/23 02:00,1.38,0.14
2020/04/23 02:00 to 2020/04/23 03:00,1.29,0.13
2020/04/23 03:00 to 2020/04/23 04:00,1.1,0.11
2020/04/23 04:00 to 2020/04/23 05:00,0.92,0.09
2020/04/23 05:00 to 2020/04/23 06:00,1.01,0.1
2020/04/23 06:00 to 2020/04/23 07:00,0.89,0.09
2020/04/23 07:00 to 2020/04/23 08:00,0.91,0.09
2020/04/23 08:00 to 2020/04/23 09:00,1.3,0.13
2020/04/23 09:00 to 2020/04/23 10:00,0.92,0.09
2020/04/23 10:00 to 2020/04/23 11:00,1.17,0.12
2020/04/23 11:00 to 2020/04/23 12:00,1.16,0.12
2020/04/23 12:00 to 2020/04/23 13:00,1.32,0.13
2020/04/23 13:00 to 2020/04/23 14:00,1.37,0.14
2020/04/23 14:00 to 2020/04/23 15:00,1.46,0.15
2020/04/23 15:00 to 2020/04/23 16:00,1.32,0.13
2020/04/23 16:00 to 2020/04/23 17:00,1.23,0.12
2020/04/23 17:00 to 2020/04/23 18:00,1.28,0.13
2020/04/23 18:00 to 2020/04/23 19:00,1.33,0.13
2020/04/23 19:00 to 2020/04/23 20:00,1.84,0.19
2020/04/23 20:00 to 2020/04/23 21:00,1.84,0.19
2020/04/23 21:00 to 2020/04/23 22:00,1.89,0.19
2020/04/23 22:00 to 2020/04/23 23:00,6.83,0.69
2020/04/23 23:00 to 2020/04/24 00:00,2.26,0.23
2020/04/24 00:00 to 2020/04/24 01:00,1.9,0.19
2020/04/24 01:00 to 2020/04/24 02:00,1.68,0.17
2020/04/24 02:00 to 2020/04/24 03:00,1.27,0.13
2020/04/24 03:00 to 2020/04/24 04:00,0.95,0.1
2020/04/24 04:00 to 2020/04/24 05:00,1.53,0.15
2020/04/24 05:00 to 2020/04/24 06:00,1.2,0.12
2020/04/24 06:00 to 2020/04/24 07:00,0.86,0.09
2020/04/24 07:00 to 2020/04/24 08:00,0.86,0.09
2020/04/24 08:00 to 2020/04/24 09:00,0.96,0.1
